Year ,Practice,Country,Grain,SOC_10cm,SOC_20cm,SOC_30cm,SOC_40cm,SOC_50cm,Ini_SOC,End_SOC    ,dSOC       ,Shoot,Root_Litter,Manure,Root_Exudation,Leach,Runoff,CH4_C,N2O_N,CO2,CH4,N2O,GWP
13,Tillage,China,0,8769.95,8821.7,8816.68,7300.61,2820.91,36261.04,36529.85,268.81,2930.97,0,135,0,511.85,0.73,-0.08,21.85,985.6366667,-2.986666667,9098.964286,10081.61429
14,Tillage,China,0,8850.91,8902.75,8897.68,7359.05,2809.34,36529.85,36819.74,289.89,2946.34,0,135,0,505.84,0.73,-0.09,21.99,1062.93,-3.36,9157.264286,10216.83429
15,Tillage,China,0,8932.89,8984.85,8979.74,7418.34,2797.98,36819.74,37113.8,294.06,2961.62,0,135,0,506.87,0.73,-0.09,22.14,1078.22,-3.36,9219.728571,10294.58857
16,Tillage,China,0,8339.37,8370.45,8366.79,6922.27,2776.82,37113.8,34775.7,-2338.11,0,0,135,0,506.53,0.73,-0.09,22.76,-8573.07,-3.36,9477.914286,901.4842857
17,Tillage,China,0,8702.61,8748.42,8744.45,7233.97,2772.54,34775.7,36201.98,1426.29,3213.18,0,135,0,339.64,0.55,-0.07,22.22,5229.73,-2.613333333,9253.042857,14480.15952
18,Tillage,China,0,8888.07,8937.02,8932.58,7373.78,2763.12,36201.98,36894.57,692.59,3054.63,0,135,0,449.92,0.64,-0.09,22.52,2539.496667,-3.36,9377.971429,11914.1081
19,Tillage,China,0,9028.1,9079.19,9074.49,7478.64,2759.83,36894.57,37420.24,525.67,3021.94,0,135,0,478.37,0.67,-0.1,19.73,1927.456667,-3.733333333,8216.135714,10139.85905
20,Tillage,China,0,9149.38,9201.01,9196.1,7567.87,2742.51,37420.25,37856.87,436.62,3036.83,0,135,0,494.16,0.7,-0.1,22.37,1600.94,-3.733333333,9315.507143,10912.71381
1,Tillage,Peru,533.42,47745.15,48057.03,47995.29,33439,15358.59,185935.55,192595.06,6659.52,8224.01,2754.22,135,642.29,23.06,0,-2.18,2.68,24418.24,-81.38666667,1116.028571,25452.8819
2,Tillage,Peru,0,48882.13,49348.49,49288.21,34038.16,15231.97,192595.06,196788.95,4193.89,8972.42,2895.51,135,698.18,24.82,0,-2.35,2.73,15377.59667,-87.73333333,1136.85,16426.71333
3,Tillage,Peru,0,49590.7,50131.97,50073.94,34369.64,15120.26,196788.95,199286.5,2497.55,8335.84,2893.09,135,962.22,24.89,0,-2.35,2.06,9157.683333,-87.73333333,857.8428571,9927.792857
4,Tillage,Peru,0,50071.52,50663.77,50607.37,34575.78,15009.38,199286.47,200927.81,1641.34,8364.1,2803.17,112.5,1161.03,24.88,0,-2.35,1.84,6018.246667,-87.73333333,766.2285714,6696.741905
5,Tillage,Peru,0,50439.21,51065.91,51010.73,34718.47,14901.53,200927.8,202135.86,1208.06,8419.36,2867.44,135,1392.37,25.79,0,-2.35,1.87,4429.553333,-87.73333333,778.7214286,5120.541429
6,Tillage,Peru,0,50742.6,51389.98,51334.85,34824.3,14792.23,202135.88,203083.97,948.09,8900.27,2897.01,135,1578.49,27.34,0,-2.35,2.05,3476.33,-87.73333333,853.6785714,4242.275238
7,Tillage,Peru,0,51018.18,51689.14,51635.42,34915.16,14695.7,203083.97,203953.59,869.63,8550.2,3167.57,135,1892.15,27.94,0,-2.35,1.87,3188.643333,-87.73333333,778.7214286,3879.631429
8,Tillage,Peru,0,51247.95,51936.51,51883.88,34981.65,14595.2,203953.59,204645.19,691.59,8612.01,3245.02,135,2130.73,28.66,0,-2.35,2,2535.83,-87.73333333,832.8571429,3280.95381
9,Tillage,Peru,0,51448.11,52151.02,52099.25,35033.01,14498.17,204645.19,205229.56,584.38,8666.69,3339.02,135,2374.19,29.37,0,-2.35,2.06,2142.726667,-87.73333333,857.8428571,2912.83619
10,Tillage,Peru,0,51629.96,52345.59,52294.66,35075.38,14403.16,205229.55,205748.73,519.19,8728.25,3433.97,135,2618.65,30.02,0,-2.35,2.14,1903.696667,-87.73333333,891.1571429,2707.120476
11,Tillage,Peru,0,51752.63,52463.91,52412.91,35084.34,14303.66,205748.73,206017.45,268.72,9566.78,2963.98,135,2722.78,28.79,0,-2.35,2.7,985.3066667,-87.73333333,1124.357143,2021.930476
12,Tillage,Peru,0,51958.32,52689.11,52639.35,35140.23,14219.11,206017.44,206646.11,628.67,8857.56,3718.74,135,3127.1,31.59,0,-2.35,2.32,2305.123333,-87.73333333,966.1142857,3183.504286
13,Tillage,Peru,0,52120.59,52864.61,52816.18,35174.7,14128.03,206646.11,207104.11,458,8904.47,3720.95,135,3358.6,31.89,0,-2.35,2.4,1679.333333,-87.73333333,999.4285714,2591.028571
14,Tillage,Peru,0,52261.44,53015.92,52968.48,35198.3,14039.71,207104.11,207483.86,379.75,8951.12,3758.72,135,3597.43,32.23,0,-2.35,2.43,1392.416667,-87.73333333,1011.921429,2316.604762
15,Tillage,Peru,0,52389.62,53152.95,53106.48,35215.45,13952.7,207483.88,207817.19,333.31,9004.46,3803.7,135,3899.41,32.71,0,-2.35,2.46,1222.136667,-87.73333333,1024.414286,2158.817619
16,Tillage,Peru,0,50509.31,51017.85,50966.96,33974.18,13868.36,207817.17,200336.67,-7480.5,0,2717.82,135,3914.44,30.4,0,-2.36,2.51,-27428.5,-88.10666667,1045.235714,-26471.37095
17,Tillage,Peru,0,51117.77,51734.95,51680,34381.96,13781.66,200336.67,202696.34,2359.67,9870.32,3002,135,4064.66,28.76,0,-2.34,5.07,8652.123333,-87.36,2111.292857,10676.05619
18,Tillage,Peru,0,51757.7,52460.19,52409.79,34714.23,13708.64,202696.34,205050.55,2354.2,9671.13,4163.04,135,4535.25,33.49,0,-2.34,3.13,8632.066667,-87.36,1303.421429,9848.128095
19,Tillage,Peru,0,52097.32,52843.74,52796.7,34858.41,13629.03,205050.56,206225.22,1174.66,9208.99,3982.08,135,4723.88,32.94,0,-2.34,2.52,4307.086667,-87.36,1049.4,5269.126667
20,Tillage,Peru,0,52334.74,53106.75,53061.88,34945.43,13549.97,206225.2,206998.77,773.56,9238.19,3907.23,135,4938.1,32.89,0,-2.35,2.47,2836.386667,-87.73333333,1028.578571,3777.231905
1,Tillage,Texas,1262,149572.39,150511.47,150689.95,105804.63,49826,606504,606404.44,-99.56,10064.71,4033.44,135,851.65,82.41,0,-3.57,91.75,-365.0533333,-133.28,38207.32143,37708.9881
2,Tillage,Texas,5806.44,148561.36,149452.44,149761.39,105008.55,49284.23,606404.56,602067.94,-4336.63,9986.53,2898.98,135,1287.23,101.1,0,-4.53,168.88,-15900.97667,-169.12,70326.45714,54256.36048
3,Tillage,Texas,5670.45,147800.98,148798.16,149083.47,104357.93,48776.23,602068,598816.75,-3251.25,10052.06,4084.82,135,2019.43,122.93,0,-4.56,163.5,-11921.25,-170.24,68086.07143,55994.58143
4,Tillage,Texas,5707.19,146915.23,147967.92,148226.39,103629.97,48303.06,598816.75,595042.56,-3774.19,9980.5,4017.74,112.5,2606.37,144.86,0,-4.59,157.32,-13838.69667,-171.36,65512.54286,51502.48619
5,Tillage,Texas,5572.4,146034.19,147114.19,147342.77,102898.79,47836.51,595042.63,591226.44,-3816.19,10044.34,4042.48,135,3205.78,163.35,0,-4.61,151.25,-13992.69667,-172.1066667,62984.82143,48820.0181
6,Tillage,Texas,5607.6,144877.72,145851.39,146112.91,102001,47396.85,591226.44,586239.88,-4986.56,9942.69,2925.74,135,3670.65,179.54,0,-4.64,172.69,-18284.05333,-173.2266667,71913.05,53455.77
7,Tillage,Texas,5642.58,144121.72,145177.06,145393.28,101386.76,46982.89,586239.88,583061.69,-3178.19,10004.72,4091.41,135,4414.46,201.79,0,-4.66,148.31,-11653.36333,-173.9733333,61760.52143,49933.18476
8,Tillage,Texas,5497.11,143364.31,144453.91,144631.53,100749.93,46567.43,583061.75,579767.13,-3294.63,10066.36,4115.67,135,5023.69,220.16,0,-4.68,141.94,-12080.31,-174.72,59107.87143,46852.84143
9,Tillage,Texas,5530.56,142588.67,143686.95,143833.52,100104.41,46172.98,579767.13,576386.5,-3380.63,9957.38,4094.03,135,5631.84,238.71,0,-4.7,132.74,-12395.64333,-175.4666667,55276.72857,42705.61857
10,Tillage,Texas,5381.91,141845,142949.77,143070.7,99486.23,45790.69,576386.5,573142.38,-3244.13,10017.25,4117.74,135,6247.35,258.24,0,-4.73,125.25,-11895.14333,-176.5866667,52157.67857,40085.94857
11,Tillage,Texas,5413.89,140806,141822.39,141990.27,98709.52,45418.3,573142.38,568746.5,-4395.88,10076.76,2964.88,135,6723.85,274.72,0,-4.75,149.77,-16118.22667,-177.3333333,62368.50714,46072.94714
12,Tillage,Texas,5445.67,140181.16,141255.86,141380.97,98188.19,45063.76,568746.44,566069.94,-2676.5,9971.18,4164.65,135,7487.64,296.64,0,-4.77,131.06,-9813.833333,-178.08,54577.12857,44585.21524
13,Tillage,Texas,5280.1,139541.27,140626.86,140719.5,97636.84,44703.51,566069.94,563228,-2841.94,10029.03,4135.54,135,8106.75,315.5,0,-4.79,125.01,-10420.44667,-178.8266667,52057.73571,41458.46238
14,Tillage,Texas,5310.37,138911.02,139992.91,140058.58,97094.13,44358.83,563228,560415.44,-2812.56,10086.53,4110.7,135,8729.95,334.39,0,-4.8,116.49,-10312.72,-179.2,48509.76429,38017.84429
15,Tillage,Texas,5340.47,138265,139330.89,139376.27,96543.83,44022.09,560415.44,557538.06,-2877.38,9976.42,4133.07,135,9360.65,353.91,0,-4.82,109.92,-10550.39333,-179.9466667,45773.82857,35043.48857
16,Tillage,Texas,5181.91,135379.91,136063.84,136116.97,94582.33,43694.84,557538,545837.88,-11700.13,0,2826.45,135,10045.56,368.28,0,-4.84,94.44,-42900.47667,-180.6933333,39327.51429,-3753.655714
17,Tillage,Texas,5178.42,135149.88,135998.39,136094.97,94474.24,43377.68,545837.88,545095.13,-742.75,9937.58,3013.82,135,11014.06,384.23,0,-4.88,117.3,-2723.416667,-182.1866667,48847.07143,45941.4681
18,Tillage,Texas,5234.11,135030.27,136003.97,136049.41,94273.61,43066.86,545095.25,544424.13,-671.13,9992.01,4199.53,135,12145.86,412.87,0,-4.89,110.93,-2460.81,-182.56,46194.42143,43551.05143
19,Tillage,Texas,5062.88,134791.03,135784.03,135788.39,93962.73,42768.01,544424.13,543094.19,-1329.94,10046.12,4221.44,135,13141.91,442.75,0,-4.9,93.09,-4876.446667,-182.9333333,38765.33571,33705.95571
20,Tillage,Texas,5091.18,134438.83,135396.11,135370.19,93566.44,42460.93,543094.31,541232.5,-1861.81,9961.08,4195.27,135,14137.8,470.09,0,-4.91,84.36,-6826.636667,-183.3066667,35129.91429,28119.97095
