site,practice,Year ,GrainC1,LeafC1,StemC1,RootC1,GrainC2,LeafC2,StemC2,RootC2,GrainC3,LeafC3,StemC3,RootC3,SOC 0-10cm,SOC 10-20cm,SOC 20-30cm,SOC 30-40cm,SOC 40-50cm,SOC_0-10cm,SOC_10-20cm,SOC_20-30cm,SOC_30-40cm,SOC_40-50cm,IniSOC     ,End_SOC    ,dSOC       ,ShootLitterC_input,RootLitterC_input,ManureC_input,RootExudation_DOC,Soil-CO2,Leach_C    ,Runoff_C   ,CH4,IniSON     ,IniSIN     ,EndSON     ,EndSIN     ,dSN        ,Atmo_N_input,Fertilizer_N_input,Manure_N_input,Litter_N_input,N_fixation ,Crop_N_uptake,Leach_NO3,Runoff_SON ,Leach_DON  ,N2O_flux,NO_flux    ,N2_flux,NH3_flux,exchengeable-NH4,PET        ,Transpiration,Evaporation,WaterLeach ,Runoff     ,Irrigation ,Precipitation,DeepWater  ,MeanT      ,WindSpeed  ,ColdStress ,WaterStress,N_Stress   ,Cut_CropC  ,yr_end_grain,yr_end_leaf,yr_end_stem,yr_end_root,yr_end_stub
Nicaragua,regen,18,88.18,84.14,332.52,168.28,112.69,4507.74,4507.74,2141.18,61.12,37.35,37.35,33.96,0.0906,0.0219,0.0186,0.0186,0.0186,97265.54,23532.99,19969.63,19983.41,29996.32,187679.86,190747.89,3068.03,9493.21,2200.94,1500,434.83,10561.9,0.01,0,-0.54,14716.39,4.77,14963.42,4.87,247.14,0,0,150,32.83,60.64,98.07,0,0,0,29.11,0.07,0.53,4.62,2.76,758.57,1288.94,5.62,26907.14,0,900,38408.34,72.42,28.02,2,1,0.45,0.59,0,0,0,5508.62,747.86,27599
Nicaragua,regen,19,88.19,84.15,332.56,168.3,113.19,4527.78,4527.78,2150.69,64.22,39.25,39.25,35.68,0.0933,0.0221,0.0186,0.0186,0.0186,100181.73,23709.4,19946.39,19961.13,29964.2,190747.91,193762.86,3014.95,9504.5,2212.31,1500,437.26,10640.45,0.01,0,-0.54,14963.42,4.87,15209.76,5,246.47,0,0,150,33.09,60.85,98.78,0,0,0,29.63,0.08,0.56,4.69,2.83,758.48,587.99,5.61,27608.13,0,900,38408.34,72.42,28.02,2,1,0.45,0.6,0,0,0,5776.04,751.64,27643.44
Nicaragua,regen,20,88.53,84.48,333.86,168.96,113.69,4547.71,4547.71,2160.16,67.11,41.01,41.01,37.28,0.0953,0.0223,0.0186,0.0186,0.0186,102269.41,23886.68,19923.3,19938.96,29932.19,193762.84,195950.55,2187.7,8727.97,2223.51,1500,439.44,10704.47,0.01,0,-0.55,15209.76,5,15439.98,5.14,230.36,0,0,150,33.36,61.07,99.5,0,0,0,30.15,0.08,0.59,4.79,2.9,758.39,590.21,5.6,27605.98,0,900,38408.34,72.42,28.02,2,1,0.45,0.6,0,0,0,6038.82,755.27,19308.69
Nicaragua,organic,3,87.8,83.78,331.11,167.57,0,0,0,0,0,0,0,0,0.0199,0.0189,0.0189,0.0189,0.0189,25087.82,23847.04,23849.29,23851.81,35781.4,132145.41,132417.36,271.95,174.9,12.18,455,112.3,484.51,0.01,0,-1.72,13084.57,7.51,13109.93,7.94,25.8,0,0,52.5,6.03,0,13.24,0,0,0,0.07,0,0.13,0.6,3.34,760.04,72.11,478.19,27291.25,0,540,38408.34,72.42,28.02,2,1,0.52,0.48,0,0,0,969.38,338.72,0
Nicaragua,organic,4,87.71,83.7,330.77,167.39,0,0,0,0,0,0,0,0,0.0203,0.0189,0.0189,0.0189,0.0189,25530.08,23815.71,23818.7,23822,35737.75,132417.39,132724.23,306.84,176.47,14.94,520,142.62,549.25,0.01,0,-1.66,13109.93,7.94,13139.9,8.33,30.35,0,0,60,6.38,0,13.57,0,0,0,0.11,0,0.14,0.73,3.52,759.94,73.64,457.15,27310.75,0,540,38408.34,72.42,28.02,2,1,0.5,0.49,0,0,0,1295.08,415.64,0
Nicaragua,organic,5,87.87,83.84,331.35,167.69,0,0,0,0,0,0,0,0,0.0206,0.0189,0.0189,0.0189,0.0189,26012.77,23784.38,23788.16,23792.24,35694.2,132724.22,133071.75,347.53,178.83,17.21,585,167.43,603.02,0.01,0,-1.6,13139.9,8.33,13174.43,8.7,34.9,0,0,67.5,6.7,0,13.89,0,0,0,0.16,0,0.16,0.89,3.72,759.83,75.13,443.35,27323.03,0,540,38408.34,72.42,28.02,2,1,0.49,0.51,0,0,0,1619.32,478.93,0
Nicaragua,organic,6,87.96,83.93,331.68,167.85,0,0,0,0,0,0,0,0,0.0211,0.0189,0.0189,0.0189,0.0189,26537.61,23753.08,23757.67,23762.55,35650.77,133071.73,133461.69,389.95,181.37,19.08,650,187.79,650.33,0.01,0,-1.53,13174.43,8.7,13213.47,9.09,39.42,0,0,75,6.97,0,14.19,0,0,0,0.24,0,0.17,1.06,3.92,759.73,76.47,432.99,27332.05,0,540,38408.34,72.42,28.02,2,1,0.47,0.52,0,0,0,1941.51,530.9,0
Nicaragua,organic,7,88,83.97,331.86,167.95,0,0,0,0,0,0,0,0,0.0215,0.0188,0.0188,0.0188,0.0188,27042.34,23721.86,23727.28,23732.97,35607.54,133461.7,133831.98,370.28,184.14,20.62,650,204.46,690.88,0.01,0,-1.45,13213.47,9.09,13252.05,9.6,39.1,0,0,75,7.2,0,14.35,0,0,0,0.32,0,0.19,1.22,4.07,759.62,77.04,425.9,27338.59,0,540,38408.34,72.42,28.02,2,1,0.47,0.6,0,0,0,2261.22,573.55,0
Nicaragua,organic,8,87.8,83.78,331.1,167.56,0,0,0,0,0,0,0,0,0.0219,0.0188,0.0188,0.0188,0.0188,27538.41,23690.77,23697.06,23703.57,35564.62,133832,134194.44,362.44,186.7,21.86,650,218.1,716.28,0.02,0,-1.38,13252.05,9.6,13290.18,10.46,38.98,0,0,75,7.39,0,14.31,0,0,0,0.39,0,0.2,1.36,4.18,759.52,76.56,421.86,27343.1,0,540,38408.34,72.42,28.02,2,1,0.46,0.6,0,0,0,2577.19,608.2,0
Nicaragua,organic,9,88.18,84.14,332.51,168.28,0,0,0,0,0,0,0,0,0.0222,0.0188,0.0188,0.0188,0.0188,28029.54,23659.87,23667.03,23674.39,35522.07,134194.45,134552.91,358.45,190.7,22.9,650,229.3,736.48,0.02,0,-1.31,13290.18,10.46,13327.88,11.57,38.81,0,0,75,7.59,0,14.36,0,0,0,0.46,0,0.21,1.48,4.29,759.42,76.59,417.26,27317.5,0,510,38408.34,72.42,28.02,2,1,0.46,0.6,0,0,0,2891.31,637.22,0
Nicaragua,organic,10,87.96,83.93,331.71,167.87,0,0,0,0,0,0,0,0,0.0226,0.0188,0.0188,0.0188,0.0188,28515.93,23629.14,23637.18,23645.41,35479.89,134552.88,134907.56,354.69,193.82,23.75,650,238.6,753.55,0.02,0,-1.24,13327.88,11.57,13365.18,13,38.73,0,0,75,7.75,0,14.32,0,0,0,0.53,0,0.22,1.61,4.4,759.32,76.11,415.69,27349.72,0,540,38408.34,72.42,28.02,2,1,0.46,0.6,0,0,0,3201.09,660.68,0
Nicaragua,organic,11,87.74,83.72,330.88,167.45,0,0,0,0,0,0,0,0,0.023,0.0187,0.0187,0.0187,0.0188,28998.65,23598.57,23607.51,23616.61,35438.07,134907.56,135259.41,351.84,197.2,24.43,650,246.12,767.88,0.02,0,-1.18,13365.18,13,13402.08,14.73,38.64,0,0,75,7.89,0,14.28,0,0,0,0.61,0,0.23,1.73,4.5,759.22,75.64,414.54,27351.46,0,540,38408.34,72.42,28.02,2,1,0.46,0.6,0,0,0,3506.24,679.54,0
Nicaragua,organic,12,88.11,84.07,332.26,168.15,0,0,0,0,0,0,0,0,0.0234,0.0187,0.0187,0.0187,0.0187,29479.13,23568.19,23578.04,23588.04,35396.63,135259.41,135610.03,350.63,202.01,25,650,252.28,780.67,0.02,0,-1.11,13402.08,14.73,13438.68,16.65,38.51,0,0,75,8.05,0,14.34,0,0,0,0.67,0,0.24,1.83,4.58,759.12,75.66,410.34,27355.53,0,540,38408.34,72.42,28.02,2,1,0.46,0.6,0,0,0,3808.68,695.6,0
Nicaragua,organic,13,87.88,83.85,331.39,167.71,0,0,0,0,0,0,0,0,0.0237,0.0187,0.0187,0.0187,0.0187,29904.59,23540.73,23549.67,23560.14,35356.16,135610.02,135911.28,301.27,205.9,25.46,650,257.43,839.27,0.05,0,-1.07,13438.68,16.65,13475.47,69.74,89.88,0,0,187.5,8.18,0,14.29,0.39,0,0,13.5,0.04,0.11,12.47,9.04,759.02,75.18,305.21,26918.65,0,0,38408.34,72.42,28.02,2,1,0.46,0.6,0,0,0,4105.9,708.38,0
Nicaragua,organic,14,88.24,84.2,332.75,168.39,0,0,0,0,0,0,0,0,0.0241,0.0187,0.0187,0.0187,0.0187,30371.52,23509.34,23519.71,23531.6,35315.34,135911.28,136247.52,336.23,211.22,25.86,650,261.65,814.48,0.02,0,-0.98,13475.47,69.74,13511.94,97.47,64.2,0,0,187.5,8.33,0,14.35,0.67,0,0,33.76,0.16,0.38,17.27,10.75,758.93,75.21,407.94,27358.37,0,540,38408.34,72.42,28.02,2,1,0.46,0.6,0,0,0,4399.87,719.43,0
Nicaragua,organic,15,88,83.97,331.84,167.93,0,0,0,0,0,0,0,0,0.0245,0.0186,0.0186,0.0187,0.0187,30845.36,23478.28,23490.07,23503.34,35274.85,136247.5,136591.89,344.39,215.59,26.17,650,265.21,814.51,0.02,0,-0.91,13511.94,97.47,13548.15,119.16,57.9,0,0,187.5,8.44,0,14.3,0.82,0,0,39.59,0.18,0.45,17.64,10.87,758.83,74.73,407.51,27359.29,0,540,38408.34,72.42,28.02,2,1,0.45,0.6,0,0,0,4688.09,728.08,0
Nicaragua,organic,16,88.35,84.31,333.18,168.61,0,0,0,0,0,0,0,0,0.0249,0.0186,0.0186,0.0186,0.0186,31324.43,23447.54,23460.73,23475.34,35234.64,136591.91,136942.69,350.78,221.38,26.45,650,268.11,816.99,0.02,0,-0.84,13548.15,119.16,13584.19,136.79,53.67,0,0,187.5,8.59,0,14.35,0.89,0,0,43.93,0.2,0.51,17.45,10.9,758.74,74.76,405.02,27361.76,0,540,38408.34,72.42,28.02,2,1,0.45,0.6,0,0,0,4972.55,735.73,0
Nicaragua,organic,17,88.1,84.07,332.23,168.13,0,0,0,0,0,0,0,0,0.0252,0.0186,0.0186,0.0186,0.0186,31806.49,23417.11,23431.68,23447.59,35194.66,136942.69,137297.53,354.84,226.2,26.66,650,270.58,820.27,0.02,0,-0.77,13584.19,136.79,13620.1,150.93,50.05,0,0,187.5,8.7,0,14.31,0.88,0,0,47.95,0.2,0.58,17.13,10.89,758.65,74.28,401.86,27365.38,0,540,38408.34,72.42,28.02,2,1,0.45,0.6,0,0,0,5250.75,741.59,0
Nicaragua,organic,18,88.45,84.4,333.55,168.8,0,0,0,0,0,0,0,0,0.0256,0.0186,0.0186,0.0186,0.0186,32293.05,23386.96,23402.89,23420.07,35154.89,137297.55,137657.88,360.33,232.43,26.85,650,272.58,823.05,0.02,0,-0.7,13620.1,150.93,13655.97,161.76,46.69,0,0,187.5,8.85,0,14.36,0.82,0,0,51.8,0.21,0.64,16.71,10.89,758.56,74.3,397.68,27369.54,0,540,38408.34,72.42,28.02,2,1,0.45,0.6,0,0,0,5524.71,746.93,0
Nicaragua,organic,19,88.19,84.15,332.56,168.3,0,0,0,0,0,0,0,0,0.026,0.0185,0.0186,0.0186,0.0186,32782.81,23357.09,23374.37,23392.75,35115.34,137657.89,138022.36,364.47,237.65,26.99,650,274.31,825.74,0.02,0,-0.63,13655.97,161.76,13691.81,169.39,43.48,0,0,187.5,8.96,0,14.31,0.73,0,0,55.6,0.22,0.72,16.28,10.86,758.47,73.82,393.26,27374.44,0,540,38408.34,72.42,28.02,2,1,0.45,0.6,0,0,0,5791.96,750.87,0
Nicaragua,organic,20,88.53,84.48,333.86,168.96,0,0,0,0,0,0,0,0,0.0264,0.0185,0.0185,0.0185,0.0186,33273.49,23327.48,23346.09,23365.61,35075.99,138022.36,138388.66,366.3,244.27,27.13,650,275.71,831.99,0.02,0,-0.58,13691.81,169.39,13727.61,173.7,40.12,0,0,187.5,9.11,0,14.36,0.66,0,0,59.21,0.22,0.79,16.1,10.84,758.39,73.85,388.21,27379.55,0,540,38408.34,72.42,28.02,2,1,0.45,0.6,0,0,0,6054.55,754.65,0
